&a / °	I1 / %
-2.389	38.4
-2.394	37.5
-2.400	37.3
-2.405	38.1
-2.410	40.2
-2.416	43.0
-2.421	46.0
-2.426	47.0
-2.432	45.1
-2.437	40.9
-2.442	36.7
-2.448	33.9
-2.453	32.4
-2.458	32.3
-2.464	32.5
-2.469	31.9
-2.474	29.8
-2.480	26.4
-2.485	23.0
-2.490	20.4
-2.496	18.8
-2.501	18.3
-2.506	18.6
-2.512	19.6
-2.517	21.4
-2.522	23.8
-2.528	27.0
-2.533	30.6
-2.538	34.1
-2.544	36.6
-2.549	37.0
-2.554	36.6
-2.560	36.6
-2.565	37.7
-2.570	40.0
-2.576	42.8
-2.581	45.3
-2.586	45.3
-2.592	42.4
-2.597	38.1
-2.602	34.5
-2.608	32.5
-2.613	31.7
-2.619	31.3
-2.624	30.9
-2.629	28.9
-2.635	25.7
-2.640	22.5
-2.645	20.1
-2.651	18.8
-2.656	18.4
-2.661	19.1
-2.667	20.5
-2.672	22.5
-2.677	25.3
-2.683	28.4
-2.688	31.9
-2.693	34.7
-2.699	36.0
-2.704	35.5
-2.709	35.2
-2.715	35.9
-2.720	37.9
-2.725	40.5
-2.731	42.8
-2.736	44.0
-2.741	40.3
-2.747	35.7
-2.752	32.5
-2.757	30.7
-2.763	30.3
-2.768	30.0
-2.773	28.8
-2.779	26.1
-2.784	22.8
-2.789	20.0
-2.795	18.4
-2.800	17.8
-2.805	18.2
-2.811	19.4
-2.816	21.5
-2.821	24.1
-2.827	27.5
-2.832	30.9
-2.837	33.7
-2.843	34.6
-2.848	34.2
-2.853	34.1
-2.859	35.2
-2.864	37.1
-2.869	39.6
-2.875	40.6
-2.880	38.8
-2.885	34.9
-2.891	31.4
-2.896	29.3
-2.901	28.5
-2.907	28.4
-2.912	27.7
-2.917	25.3
-2.923	22.3
-2.928	19.8
-2.933	18.4
-2.939	18.0
-2.944	18.7
-2.949	20.1
-2.955	22.3
-2.960	25.1
-2.965	28.5
-2.971	31.8
-2.976	33.8
-2.981	33.9
-2.987	33.6
-2.992	33.9
-2.997	35.5
-3.003	37.8
-3.008	39.4
-3.013	38.2
-3.019	34.8
-3.024	31.4
-3.029	29.4
-3.035	28.5
-3.040	28.2
-3.045	27.0
-3.051	24.5
-3.056	21.3
-3.061	19.2
-3.067	18.0
-3.072	17.9
-3.077	18.8
-3.083	20.7
-3.088	23.0
-3.093	26.1
-3.099	29.2
-3.104	31.6
-3.109	32.0
-3.115	31.7
-3.120	32.0
-3.125	33.5
-3.131	35.6
-3.136	37.3
-3.141	36.6
-3.147	33.4
-3.152	30.0
-3.157	27.8
-3.163	26.8
-3.168	26.4
-3.173	25.1
-3.179	22.7
-3.184	20.0
-3.189	18.3
-3.195	17.6
-3.200	18.0
-3.205	19.2
-3.211	21.3
-3.216	23.9
-3.221	27.1
-3.227	29.8
-3.232	31.3
-3.237	31.3
-3.243	31.4
-3.248	32.2
-3.253	33.9
-3.259	35.2
-3.264	34.9
-3.269	32.1
-3.275	28.9
-3.280	26.8
-3.285	25.7
-3.291	25.2
-3.296	24.1
-3.301	21.7
-3.306	19.5
-3.312	18.0
-3.317	17.6
-3.322	18.1
-3.328	19.5
-3.333	21.5
-3.338	24.1
-3.344	26.8
-3.349	28.9
-3.354	29.6
-3.360	29.6
-3.365	30.0
-3.370	31.2
-3.376	32.5
-3.381	32.7
-3.386	30.6
-3.392	27.7
-3.397	25.3
-3.402	24.3
