																
grün1			Rot1			Rot2			Türkis			violett			violettx2	
&a / °	I1 / %		&a / °	I1 / %		&a / °	I1 / %		&a / °	I1 / %		&a / °	I1 / %		&a / °	I1 / %
2.293	15.3		2.293	18.7		2.293	14.4		2.293	14.1		2.293	14.9		2.293	15.1
2.290	15.3		2.290	18.7		2.290	14.4		2.290	14.1		2.290	14.9		2.290	15.1
2.288	15.3		2.288	18.7		2.288	14.4		2.288	14.1		2.288	14.9		2.288	15.1
2.285	15.3		2.285	18.7		2.285	14.4		2.285	14.1		2.285	14.9		2.285	15.1
2.282	15.3		2.282	18.7		2.282	14.4		2.282	14.1		2.282	14.9		2.282	15.1
2.280	15.3		2.280	18.7		2.280	14.4		2.280	14.1		2.280	14.9		2.280	15.1
2.277	15.3		2.277	18.7		2.277	14.4		2.277	14.1		2.277	14.9		2.277	15.1
2.274	15.3		2.274	18.7		2.274	14.4		2.274	14.1		2.274	14.9		2.274	15.1
2.272	15.3		2.272	18.7		2.272	14.4		2.272	14.1		2.272	14.9		2.272	15.1
2.269	15.3		2.269	18.7		2.269	14.4		2.269	14.1		2.269	14.9		2.269	15.1
2.266	15.3		2.266	18.7		2.266	14.5		2.266	14.1		2.266	14.9		2.266	15.1
2.264	15.3		2.264	18.7		2.264	14.4		2.264	14.1		2.264	14.9		2.264	15.1
2.261	15.3		2.261	18.7		2.261	14.4		2.261	14.1		2.261	14.9		2.261	15.1
2.258	15.3		2.258	18.7		2.258	14.5		2.258	14.1		2.258	14.9		2.258	15.1
2.256	15.3		2.256	18.7		2.256	14.4		2.256	14.1		2.256	14.9		2.256	15.1
2.253	15.3		2.253	18.7		2.253	14.4		2.253	14.1		2.253	14.9		2.253	15.1
2.250	15.3		2.250	18.7		2.250	14.4		2.250	14.1		2.250	14.9		2.250	15.1
2.248	15.3		2.248	18.7		2.248	14.4		2.248	14.1		2.248	14.9		2.248	15.1
2.245	15.3		2.245	18.7		2.245	14.4		2.245	14.1		2.245	14.9		2.245	15.1
2.242	15.3		2.242	18.7		2.242	14.4		2.242	14.1		2.242	14.9		2.242	15.1
2.240	15.3		2.240	18.7		2.240	14.4		2.240	14.1		2.240	14.9		2.240	15.1
2.237	15.3		2.237	18.7		2.237	14.4		2.237	14.1		2.237	14.9		2.237	15.1
2.234	15.3		2.234	18.7		2.234	14.5		2.234	14.1		2.234	14.9		2.234	15.1
2.231	15.3		2.231	18.7		2.231	14.5		2.231	14.1		2.231	14.9		2.231	15.1
2.229	15.3		2.229	18.7		2.229	14.4		2.229	14.1		2.229	14.9		2.229	15.1
2.226	15.3		2.226	18.7		2.226	14.4		2.226	14.1		2.226	14.9		2.226	15.1
2.223	15.3		2.223	18.7		2.223	14.4		2.223	14.1		2.223	14.9		2.223	15.1
2.221	15.3		2.221	18.7		2.221	14.4		2.221	14.1		2.221	14.9		2.221	15.1
2.218	15.3		2.218	18.7		2.218	14.5		2.218	14.1		2.218	14.9		2.218	15.1
2.215	15.3		2.215	18.7		2.215	14.5		2.215	14.1		2.215	14.9		2.215	15.1
2.213	15.3		2.213	18.7		2.213	14.4		2.213	14.1		2.213	14.9		2.213	15.1
2.210	15.3		2.210	18.7		2.210	14.5		2.210	14.1		2.210	14.9		2.210	15.1
2.207	15.3		2.207	18.7		2.207	14.5		2.207	14.2		2.207	14.9		2.207	15.1
2.205	15.3		2.205	18.7		2.205	14.5		2.205	14.1		2.205	14.9		2.205	15.1
2.202	15.3		2.202	18.7		2.202	14.5		2.202	14.1		2.202	14.9		2.202	15.1
2.199	15.3		2.199	18.7		2.199	14.5		2.199	14.1		2.199	14.9		2.199	15.2
2.197	15.3		2.197	18.7		2.197	14.4		2.197	14.1		2.197	14.9		2.197	15.1
2.194	15.3		2.194	18.7		2.194	14.5		2.194	14.1		2.194	14.9		2.194	15.1
2.191	15.3		2.191	18.7		2.191	14.5		2.191	14.1		2.191	14.9		2.191	15.1
2.189	15.3		2.189	18.7		2.189	14.5		2.189	14.2		2.189	14.9		2.189	15.2
2.186	15.3		2.186	18.7		2.186	14.5		2.186	14.1		2.186	14.9		2.186	15.2
2.183	15.3		2.183	18.7		2.183	14.5		2.183	14.1		2.183	14.9		2.183	15.2
2.181	15.3		2.181	18.7		2.181	14.5		2.181	14.2		2.181	14.9		2.181	15.2
2.178	15.3		2.178	18.7		2.178	14.5		2.178	14.2		2.178	15.0		2.178	15.2
2.175	15.3		2.175	18.7		2.175	14.4		2.175	14.2		2.175	14.9		2.175	15.2
2.173	15.3		2.173	18.7		2.173	14.4		2.173	14.1		2.173	14.9		2.173	15.2
2.170	15.3		2.170	18.7		2.170	14.5		2.170	14.1		2.170	14.9		2.170	15.2
2.167	15.3		2.167	18.7		2.167	14.4		2.167	14.1		2.167	14.9		2.167	15.2
